item	noun	voter1_guess	voter1_conf	voter2_guess	voter2_conf
item01	dolphin	thumbs up	med	mountain/staircase abstract	low
item02	skyscraper	tiered wedding cake	high	stepped pyramid (ziggurat)	high
item03	teddy-bear	sofa or armchair	low	boombox or small appliance	low
item04	turtle	dog or horse	low	horse or dog	med
item05	shark	robot torso	low	abstract blob	low
item06	bridge	bowtie or propeller	low	abstract blob (crossed shape)	low
item07	coffee-cup	tower/skyscraper	med	tower/skyscraper	med
item08	apple	trophy or faucet	low	abstract blob	low
item09	banana	step pyramid	med	staircase	med
item10	bus	book (standing upright)	med	book or door slab	low
item11	bee	turtle	med	abstract blob	low
item12	camera	tugboat	low	fortress wall with towers	low
item13	star	robot or person reaching	med	robot figure	med
item14	dog	shoe/boot (sideways)	low	staircase	low
item15	windmill	eagle/bird	low	tiered cake	low
item16	snowman	backpack	low	abstract blob	low
item17	dinosaur	giraffe	high	giraffe	high
item18	eiffel-tower	Christmas tree	med	tent or mountain with legs	low
item19	helicopter	helicopter	low	abstract blob	low
item20	sun	snowflake/star	low	abstract blob	low
item21	motorcycle	bridge/gate	low	abstract blob	low
item22	whale	table/desk	med	abstract blob/insect	low
item23	key	key	med	key or hammer	med
item24	train	twin towers/skyscrapers	low	dog or camel from behind	low
item25	hamburger	book/building	low	skyscraper/tower	med
item26	bicycle	bowtie/crossed shape	low	scissors	low
item27	fire-truck	dog	med	dog	low
item28	umbrella	mushroom	low	mushroom	med
item29	crown	bird/trophy	low	robot	low
item30	butterfly	pine tree	med	leaf	low
item31	owl	crown	med	castle tower	low
item32	boat	camera	med	camera	low
item33	bear	dinosaur (stegosaurus)	med	horse	med
item34	birthday-cake	crown	med	crown	med
item35	pumpkin	battery	med	battery	med
item36	rose	key	high	key	high
item37	castle	city skyline	med	castle	med
item38	lion	dog	med	dog	low
item39	airplane	robot	low	tree	low
item40	tractor	factory	med	factory	med
item41	tiger	llama	high	llama	med
item42	monkey	blob	low	rock	low
item43	submarine	ship	med	ship	med
item44	rabbit	rabbit	med	rabbit	low
item45	crab	camel	low	bridge	low
item46	truck	bench	med	table	med
item47	guitar	flag	low	signpost	med
item48	flower	bird	low	creature	low
item49	pizza	arrowhead (or pie wedge)	med	iceberg	med
item50	elephant	staircase	high	dinosaur	med
